fileName,displayName
adli_bilimler_ve_ceza_adaleti_kulubu.png,Adli Bilimler ve Ceza Adaleti Kulübü
anestezi_kulubu.png,Anestezi Kulübü
animasyon_kulubu.png,Animasyon Kulübü
avrupa_tip_ogrencileri_birligi_kulubu.png,Avrupa Tıp Öğrencileri Birliği Kulübü
beslenme_ve_diyetetik_kulubu.png,Beslenme ve Diyetetik Kulübü
bikutu_ve_rol_yapma_oyunlari_kulubu.png,Bikutu ve Rol Yapma Oyunları Kulübü
bilimsel_arastirma_toplulugu_kulubu.png,Bilimsel Araştırma Topluluğu Kulübü
biyomuhendislik_ve_biyoteknoloji_kulubu.png,Biyomühendislik ve Biyoteknoloji Kulübü
cagin_vicdani_kulubu.png,Çağın Vicdanı Kulübü
cansagligi_kulubu.png,Cansaglığı Kulübü
ceviri_kulubu.png,Çeviri Kulübü
chemical_engineering_society.png,Chemical Engineering Society
cocuk_gelisimi_kulubu.png,Çocuk Gelişimi Kulübü
dans_kulubu.png,Dans Kulübü
dil_ve_konusma_kulubu.png,Dil ve Konuşma Kulübü
dis_hekimligi_ogrenci_birligi_kulubu.png,Diş Hekimliği Öğrenci Birliği Kulübü
dis_protez_kulubu.png,Diş Protez Kulübü
ekovizyon_kulubu.png,Ekovizyon Kulübü
endustri_ve_liderlik_kulubu.png,Endüstri ve Liderlik Kulübü
ergoterapi_kulubu.png,Ergoterapi Kulübü
esit_adimlar_kulubu.png,Eşit Adımlar Kulübü
felsefe_kulubu.png,Felsefe Kulübü
fikir_ve_aksiyon_kulubu.png,Fikir ve Aksiyon Kulübü
finansal_okuryazarlik_kulubu.png,Finansal Okuryazarlık Kulübü
fizyoterapi_kulubu.png,Fizyoterapi Kulübü
fizyoterapi_ve_rehabilitasyon_kulubu.png,Fizyoterapi ve Rehabilitasyon Kulübü
gazetecilik_kulubu.png,Gazetecilik Kulübü
gelecegin_liderleri.png,Geleceğin Liderleri
genc_gonulluler_kulubu.png,Genç Gönüllüler Kulübü
genc_iletisimciler_kulubu.png,Genç İletişimciler Kulübü
genc_tibbiyeliler_kulubu.png,Genç Tıbbiyeliler Kulübü
genc_yeryuzu_doktorlari_kulubu.png,Genç Yeryüzü Doktorları Kulübü
genc_yesilay_kulubu.png,Genç Yeşilay Kulübü
genclik_kulubu.png,Gençlik Kulübü
gida_kulubu.png,Gıda Kulübü
google_developer_groups_kulubu.png,Google Developer Groups Kulübü
haydi_tut_elimi_kulubu.png,Haydi Tut Elimi Kulübü
hemsirelik_kulubu.png,Hemşirelik Kulübü
ieee_kulubu.png,IEEE Kulübü
ilk_ve_acil_yardim_kulubu.png,İlk ve Acil Yardım Kulübü
image.png,Üsküdar Üniversitesi
intercultural_kulubu.png,Intercultural Kulübü
iyiligin_gelecegi_kulubu.png,İyiliğin Geleceği Kulübü
kalite_kulubu.png,Kalite Kulübü
kizilay_kulubu.png,Kızılay Kulübü
kulturel_kesif_kulubu.png,Kültürel Keşif Kulübü
laboratuvar_teknikerligi_kulubu.png,Laboratuvar Teknikerliği Kulübü
losemili_cocuklara_fayda_kulubu.png,Lösemili Çocuklara Fayda Kulübü
meclis_kursusu_kulubu.png,Meclis Kürsüsü Kulübü
milli_miras_kulubu.png,Milli Miras Kulübü
model_united_nations_kulubu.png,Model United Nations Kulübü
molekuler_biyoloji_ve_genetik_kulubu.png,Moleküler Biyoloji ve Genetik Kulübü
mucizeye_ilk_dokunus_kulubu.png,Mucizeye İlk Dokunuş Kulübü
muzik_kulubu.png,Müzik Kulübü
nadir_hastaliklar_kulubu.png,Nadir Hastalıklar Kulübü
odyoloji_kulubu.png,Odyoloji Kulübü
okculuk_kulubu.png,Okçuluk Kulübü
ombudsman_kulubu.png,Ombudsman Kulübü
perfuzyon_kulubu.png,Perfüzyon Kulübü
podoloji_kulubu.png,Podoloji Kulübü
pozitif_psikoloji_kulubu.png,Pozitif Psikoloji Kulübü
proje_gelistirme_ve_genclik_kulubu.png,Proje Geliştirme ve Gençlik Kulübü
saglik_yonetimi_kulubu.png,Sağlık Yönetimi Kulübü
senaryo_bazli_is_sagligi_ve_guvenligi_kulubu.png,Senaryo Bazlı İş Sağlığı ve Güvenliği Kulübü
sessizligi_boz_kulubu.png,Sessizliği Boz Kulübü
sinema_kulubu.png,Sinema Kulübü
sivil_savunma_kulubu.png,Sivil Savunma Kulübü
skslogo.png,SKS
sosyal_hizmet_kulubu.png,Sosyal Hizmet Kulübü
sosyoloji_kulubu.png,Sosyoloji Kulübü
stem_projects_kulubu.png,STEM Projects Kulübü
stratejik_arastirma_ve_gelistirme_kulubu.png,Stratejik Araştırma ve Geliştirme Kulübü
surdurulebilir_kalkinma_kulubu.png,Sürdürülebilir Kalkınma Kulübü
tarih_kulubu.png,Tarih Kulübü
tarih_ve_kultur_kulubu.png,Tarih ve Kültür Kulübü
tasarim_kulubu.png,Tasarım Kulübü
teknofest_kulubu.png,Teknofest Kulübü
teknoloji_ve_inovasyon_kulubu.png,Teknoloji ve İnovasyon Kulübü
tip_ogrencileri_birligi_kulubu.png,Tıp Öğrencileri Birliği Kulübü
tiyatro_kulubu.png,Tiyatro Kulübü
turkce_konusma_kulubu.png,Türkçe Konuşma Kulübü
uluslararasi_diplomasi_kulubu.png,Uluslararası Diplomasi Kulübü
uskudar_bilisim_kulubu.png,Üsküdar Bilişim Kulübü
uskudar_elektronorofizyoloji_kulubu.png,Üsküdar Elektronörofizyoloji Kulübü
uskudar_universitesi_spor.png,Üsküdar Üniversitesi Spor
uulogo.jpg,Üsküdar Üniversitesi Logosu
yapay_zeka_ve_akilli_sistemler_kulubu.png,Yapay Zekâ ve Akıllı Sistemler Kulübü
yeni_medya_kulubu.png,Yeni Medya Kulübü
yetenek_farkindaligi_kulubu.png,Yetenek Farkındalığı Kulübü
